key,value,year,month,category
paris,71,2023,2,kws
augmentation,20,2023,2,kws
considérable,3,2023,2,kws
commandes,4,2023,2,kws
munitions,79,2023,2,kws
mm,22,2023,2,kws
obus,14,2023,2,kws
pays,872,2023,2,kws
livre,5,2023,2,kws
ukraine,452,2023,2,kws
prochaine,11,2023,2,kws
lpm,2,2023,2,kws
loi,25,2023,2,kws
programmation,2,2023,2,kws
militaire,201,2023,2,kws
expérience,16,2023,2,kws
ministre,272,2023,2,kws
français,154,2023,2,kws
armées,83,2023,2,kws
sébastien,11,2023,2,kws
lecornu,10,2023,2,kws
audition,1,2023,2,kws
commande,4,2023,2,kws
caesar,1,2023,2,kws
juillet,54,2023,2,kws
dernier,91,2023,2,kws
missiles,73,2023,2,kws
concert,4,2023,2,kws
italie,11,2023,2,kws
responsable,78,2023,2,kws
accélération,6,2023,2,kws
mois,106,2023,2,kws
mars,53,2023,2,kws
entreprise,17,2023,2,kws
nouvelle,75,2023,2,kws
unités,27,2023,2,kws
globales,1,2023,2,kws
volume,9,2023,2,kws
annuel,10,2023,2,kws
mmp,1,2023,2,kws
missile,25,2023,2,kws
moyenne,12,2023,2,kws
dépenses,9,2023,2,kws
sorties,1,2023,2,kws
accord,128,2023,2,kws
président,363,2023,2,kws
république,124,2023,2,kws
production,67,2023,2,kws
poudrele,1,2023,2,kws
conflit,176,2023,2,kws
ukrainien,128,2023,2,kws
hexagone,7,2023,2,kws
relocalisation,1,2023,2,kws
poudre,12,2023,2,kws
propulsive,3,2023,2,kws
février,582,2023,2,kws
part,133,2023,2,kws
relancement,1,2023,2,kws
usine,10,2023,2,kws
bergerac,2,2023,2,kws
dordogne,2,2023,2,kws
fins,23,2023,2,kws
tonnes,67,2023,2,kws
industriel,8,2023,2,kws
euronco,1,2023,2,kws
france,178,2023,2,kws
début,138,2023,2,kws
obusiers,37,2023,2,kws
systèmes,56,2023,2,kws
défense,235,2023,2,kws
aérienne,37,2023,2,kws
crotale,3,2023,2,kws
mistral,1,2023,2,kws
milan,4,2023,2,kws
véhicules,103,2023,2,kws
blindés,86,2023,2,kws
transport,27,2023,2,kws
troupes,56,2023,2,kws
mines,10,2023,2,kws
antichar,6,2023,2,kws
projets,25,2023,2,kws
supplémentaires,17,2023,2,kws
kiev,225,2023,2,kws
printemps,9,2023,2,kws
système,72,2023,2,kws
samp,1,2023,2,kws
t,5,2023,2,kws
mamba,1,2023,2,kws
chars,108,2023,2,kws
roues,3,2023,2,kws
chiffres,32,2023,2,kws
statista,3,2023,2,kws
suivi,8,2023,2,kws
institut,38,2023,2,kws
économie,61,2023,2,kws
mondiale,94,2023,2,kws
kiella,1,2023,2,kws
an,62,2023,2,kws
millions,107,2023,2,kws
euros,22,2023,2,kws
aide,163,2023,2,kws
armée,186,2023,2,kws
ukrainienne,62,2023,2,kws
contribution,9,2023,2,kws
équivalente,2,2023,2,kws
pib,11,2023,2,kws
forces,196,2023,2,kws
russes,341,2023,2,kws
axes,29,2023,2,kws
confondus,2,2023,2,kws
zone,98,2023,2,kws
pickups,2,2023,2,kws
obusier,38,2023,2,kws
msta,18,2023,2,kws
b,15,2023,2,kws
canons,26,2023,2,kws
automoteurs,11,2023,2,kws
akatsia,2,2023,2,kws
ministère,210,2023,2,kws
russe,657,2023,2,kws
combat,64,2023,2,kws
aérien,38,2023,2,kws
drones,86,2023,2,kws
appareils,9,2023,2,kws
moyens,34,2023,2,kws
guerre,168,2023,2,kws
massive,23,2023,2,kws
dronesla,1,2023,2,kws
crimée,55,2023,2,kws
attaque,56,2023,2,kws
axe,74,2023,2,kws
krasny,28,2023,2,kws
liman,24,2023,2,kws
équipements,46,2023,2,kws
dépôt,15,2023,2,kws
installation,8,2023,2,kws
stockage,2,2023,2,kws
carburant,15,2023,2,kws
char,9,2023,2,kws
akatsiya,10,2023,2,kws
sud,163,2023,2,kws
donetsk,100,2023,2,kws
zaporojié,24,2023,2,kws
pertes,25,2023,2,kws
ukrainiennes,100,2023,2,kws
total,45,2023,2,kws
ukrainiens,107,2023,2,kws
régions,48,2023,2,kws
kherson,23,2023,2,kws
kharkov,18,2023,2,kws
républiques,6,2023,2,kws
populaires,8,2023,2,kws
lougansk,13,2023,2,kws
richesse,5,2023,2,kws
totale,10,2023,2,kws
personnes,189,2023,2,kws
fortunées,1,2023,2,kws
dollars,101,2023,2,kws
valeur,13,2023,2,kws
résidence,6,2023,2,kws
principale,13,2023,2,kws
baisse,7,2023,2,kws
milliards,113,2023,2,kws
étude,27,2023,2,kws
mercredi,35,2023,2,kws
année,95,2023,2,kws
dernière,52,2023,2,kws
crise,52,2023,2,kws
énergétique,23,2023,2,kws
européenne,77,2023,2,kws
inflation,22,2023,2,kws
plein,9,2023,2,kws
essor,1,2023,2,kws
conséquence,15,2023,2,kws
mouvements,10,2023,2,kws
hausse,29,2023,2,kws
histoire,37,2023,2,kws
taux,19,2023,2,kws
intérêt,30,2023,2,kws
liam,2,2023,2,kws
bailey,1,2023,2,kws
