key,value,year,month,category
afrique,619,2023,6,kws
propre,37,2023,6,kws
monnaie,77,2023,6,kws
unique,25,2023,6,kws
sputnik,161,2023,6,kws
henri,6,2023,6,kws
doué,4,2023,6,kws
taï,3,2023,6,kws
industriel,12,2023,6,kws
ivoirien,4,2023,6,kws
part,142,2023,6,kws
forum,139,2023,6,kws
économique,190,2023,6,kws
international,152,2023,6,kws
pays,1134,2023,6,kws
africains,222,2023,6,kws
propres,23,2023,6,kws
monnaies,30,2023,6,kws
confédérale,1,2023,6,kws
fédération,25,2023,6,kws
nord,99,2023,6,kws
sein,59,2023,6,kws
franc,6,2023,6,kws
cfa,3,2023,6,kws
réalité,33,2023,6,kws
coloniale,7,2023,6,kws
héritée,1,2023,6,kws
france,133,2023,6,kws
valeur,41,2023,6,kws
euro,8,2023,6,kws
banque,79,2023,6,kws
abandon,4,2023,6,kws
souveraineté,43,2023,6,kws
politique,99,2023,6,kws
extérieure,3,2023,6,kws
partenaires,59,2023,6,kws
avril,52,2023,6,kws
président,577,2023,6,kws
alassane,4,2023,6,kws
ouattara,5,2023,6,kws
discussions,26,2023,6,kws
question,84,2023,6,kws
eco,2,2023,6,kws
niveau,77,2023,6,kws
chefs,69,2023,6,kws
état,268,2023,6,kws
commission,29,2023,6,kws
cedeao,3,2023,6,kws
lancement,12,2023,6,kws
algérie,247,2023,6,kws
entreprises,57,2023,6,kws
russes,409,2023,6,kws
investissements,30,2023,6,kws
ministre,273,2023,6,kws
algérien,106,2023,6,kws
énergie,44,2023,6,kws
mines,35,2023,6,kws
affaires,211,2023,6,kws
russo,44,2023,6,kws
moscou,245,2023,6,kws
présence,64,2023,6,kws
tebboune,68,2023,6,kws
investissement,17,2023,6,kws
besoins,15,2023,6,kws
aspirations,3,2023,6,kws
solidité,4,2023,6,kws
relations,134,2023,6,kws
mohamed,12,2023,6,kws
arkab,1,2023,6,kws
russie,858,2023,6,kws
nouvelles,45,2023,6,kws
opportunités,16,2023,6,kws
domaines,36,2023,6,kws
exploration,16,2023,6,kws
production,190,2023,6,kws
secteurs,28,2023,6,kws
points,32,2023,6,kws
vue,49,2023,6,kws
parti,25,2023,6,kws
expérience,20,2023,6,kws
historique,8,2023,6,kws
cours,140,2023,6,kws
dernières,78,2023,6,kws
années,100,2023,6,kws
possibilités,15,2023,6,kws
perspectives,18,2023,6,kws
coopération,153,2023,6,kws
développement,163,2023,6,kws
partenariat,87,2023,6,kws
protocole,4,2023,6,kws
accord,135,2023,6,kws
bilatérale,14,2023,6,kws
domaine,60,2023,6,kws
géologie,2,2023,6,kws
exploitation,24,2023,6,kws
minière,9,2023,6,kws
bilatérales,17,2023,6,kws
intérêts,26,2023,6,kws
algériennesen,1,2023,6,kws
visite,90,2023,6,kws
alger,29,2023,6,kws
nombre,78,2023,6,kws
accords,58,2023,6,kws
fortes,11,2023,6,kws
termes,21,2023,6,kws
tourisme,11,2023,6,kws
agriculture,29,2023,6,kws
sciences,8,2023,6,kws
abdelmadjid,40,2023,6,kws
déclaration,80,2023,6,kws
échanges,65,2023,6,kws
commerciaux,40,2023,6,kws
milliards,124,2023,6,kws
dollars,170,2023,6,kws
milliard,28,2023,6,kws
secteur,48,2023,6,kws
militaire,231,2023,6,kws
volume,22,2023,6,kws
importations,13,2023,6,kws
armements,28,2023,6,kws
principaux,21,2023,6,kws
militaires,211,2023,6,kws
sanctions,87,2023,6,kws
occidentales,54,2023,6,kws
fennecs,1,2023,6,kws
tebbouneau,2,2023,6,kws
séjour,11,2023,6,kws
juin,676,2023,6,kws
vladimir,153,2023,6,kws
poutine,170,2023,6,kws
spief,33,2023,6,kws
industrie,59,2023,6,kws
culture,33,2023,6,kws
mercredi,30,2023,6,kws
rencontre,58,2023,6,kws
russe,854,2023,6,kws
mikhaïl,2,2023,6,kws
michoustine,5,2023,6,kws
historiques,8,2023,6,kws
situation,155,2023,6,kws
change,5,2023,6,kws
monde,252,2023,6,kws
chef,201,2023,6,kws
contexte,35,2023,6,kws
spécial,23,2023,6,kws
rapports,18,2023,6,kws
intention,27,2023,6,kws
liens,46,2023,6,kws
union,94,2023,6,kws
eurasiatique,3,2023,6,kws
ueea,2,2023,6,kws
arménie,11,2023,6,kws
biélorussie,26,2023,6,kws
kazakhstan,8,2023,6,kws
